channel,delta_z_mm,amplitude_dB,onchip_um,design_um,error_um,implied_n_g,device_port
b26,15.5438,-1.31,6558.7,6572.1,-31.8,3.47199,HHI_MMI1x2E1700:o2
b26,27.8528,-8.13,11752.5,11754.2,-4.1,3.47858,HHI_ISOsectionSingle_25_$3020:o2
b26,27.969,-1.62,11801.4,11802.3,-1.9,3.47886,HHI_WGMETxE1700single:o2
b26,28.0685,-12.79,11843.4,11831.7,27.9,3.48256,HHI_WGMETxE1700single:o1
b26,28.1514,-16.82,11878.4,11890.5,-28.5,3.47558,HHI_WGMETxE1700single:o1
