channel,delta_z_mm,amplitude_dB,onchip_um,design_um,error_um,implied_n_g,device_port
b2,14.6148,0.0,6166.7,6166.7,0.1,3.47911,HHI_MMI1x2E1700:o2
b2,14.93,-4.36,6299.7,6296.9,6.7,3.48066,HHI_PMTOE1700_500_$c575:o2
b2,15.2618,-20.98,6439.7,6442.0,-5.4,3.47786,HHI_WGMETxE1700single:o1
b2,16.6884,-23.02,7041.7,7053.4,-27.8,3.47331,HHI_ISOsectionSingle_25_$3020:o2
