channel,delta_z_mm,amplitude_dB,onchip_um,design_um,error_um,implied_n_g,device_port
b5,10.8159,-21.03,4563.8,4559.7,9.7,3.48221,HHI_WGMETxE1700single:o2
b5,11.38,-4.36,4801.8,4810.5,-20.7,3.47279,HHI_WGMETxE1700single:o1
