x0,y0,x1,y1,npoints,area,perimeter,length_secant,width,kind,radius,angle_deg,n_seg,length_exact
1310.475,3839.061,1434.568,3901.516,350,342.8680804999952,302.74241223482517,149.0711767762978,2.3000293411147936,Bogen,93.54403968539016,91.30618375105779,174,149.07169777917522
1264.6100000000001,3856.926,1311.299,3895.135,143,136.02590899999947,122.88540784026951,59.14274455885352,2.2999593612812284,Bogen,58.96818209036936,57.465391197739656,70,59.14325045832221
1219.6779999999999,3820.087,1266.367,3858.297,143,136.03202500000123,122.88665839695375,59.143287542837186,2.300041655639685,Bogen,58.966512388931285,57.46754599258476,70,59.14379348489147
1378.4940000000001,3715.792,1440.949,3839.886,350,342.86328400000133,302.74379211790676,149.0719102097237,2.299985849229671,Bogen,93.54441571373002,91.30626594652725,174,149.0724312161025
1208.761,3816.561,1220.502,3822.235,34,26.666911499998864,27.78831773331229,11.594121627344716,2.300037239311428,Bogen,3.8892208963884563,170.80393582814182,16,11.610908779751302
1190.908,3813.164,1209.326,3818.757,40,42.131912500000205,41.23528093024782,18.317556842494792,2.300083622629117,Bogen,5.955358157419004,176.23099573926976,19,18.33757391167828
1320.5120000000002,3709.4120000000003,1379.318,3717.94,143,136.0280719999999,122.88495549055521,59.14247118001305,2.3000065652645567,Bogen,58.96726928901514,57.46601512069865,70,59.14297708812883
1262.239,3709.213,1321.045,3717.7400000000002,143,136.02866149999784,122.8848544162148,59.1424082271848,2.300018980922598,Bogen,58.96755241092149,57.46567804007879,70,59.14291412882702
1219.714,3692.995,1263.028,3711.453,4,104.69420850000256,95.62572868172775,45.51252600109602,2.3003383397678547,Gerade,nan,nan,0,45.51252600109602
1208.761,3689.561,1220.502,3695.235,34,26.666911499998864,27.78831773331229,11.594121627344716,2.300037239311428,Bogen,3.889220897106844,170.8039357965922,16,11.610908779745097
1190.908,3686.164,1209.326,3691.757,40,42.131912500000205,41.23528093024782,18.317556842494792,2.300083622629117,Bogen,5.955358157888156,176.23099572538663,19,18.337573911675126
