groesse,wert
facetA_mm,1579.129142
x_cross_predicted_mm,3.940118
level_at_cross_dB,-45.248
max_in_window_dB,-39.329
max_pos_in_window_mm,3.8542
satellite_1st_order_mm,3.868
level_at_satellite_dB,-39.329
local_floor_median_dB,-51.323
