lambda_nm,z_facetA_mm,z_facetB_mm,dz_mm,ng,snr_A_dB,snr_B_dB,used
1601.227,1579.372955,1589.102943,9.729988,1.999362,18.97,22.63,1
1602.227,1579.371453,1589.098941,9.727487,1.998848,19.27,25.19,1
1603.227,1579.370202,1589.095188,9.724987,1.998334,19.34,23.31,1
1604.227,1579.368950,1589.092937,9.723987,1.998129,18.97,24.65,1
1605.227,1579.368700,1589.091186,9.722486,1.997820,18.55,23.15,1
1606.227,1579.368700,1589.089435,9.720735,1.997461,18.48,23.69,1
1607.227,1579.369451,1589.087934,9.718483,1.996998,18.31,25.21,1
1608.227,1579.370702,1589.087433,9.716731,1.996638,18.64,23.79,1
1609.227,1579.372455,1589.087433,9.714979,1.996278,18.82,24.09,1
1610.227,1579.373956,1589.087183,9.713227,1.995918,18.23,25.64,1
1611.227,1579.376710,1589.087684,9.710974,1.995455,16.09,24.97,1
1612.227,1579.379463,1589.088434,9.708971,1.995043,15.41,24.60,1
1613.227,1579.382467,1589.090435,9.707968,1.994837,16.14,24.96,1
