kind,z_from_mm,z_to_mm,width_mm,db_over_floor,db_over_background,verdict,candidate,delta_um,p_chance
Stachel,1.9624,1.9624,0.0,50.3,11.3,unerklaert,naechste: SSC end +0.88 mm,,
Stachel,2.0121,2.0121,0.0,51.2,11.7,unerklaert,naechste: SSC end +0.83 mm,,
Stachel,3.1899,3.1899,0.0,68.2,27.4,unerklaert,naechste: SSC end -0.35 mm,,
Stachel,3.2729,3.2729,0.0,66.7,27.9,unerklaert,naechste: SSC end -0.43 mm,,
Stachel,8.797,8.797,0.0,20.9,14.3,unerklaert,naechste: SSC end -5.96 mm,,
Stachel,8.88,8.88,0.0,20.6,14.0,unerklaert,naechste: SSC end -6.04 mm,,
Stachel,10.655,10.655,0.0,22.5,12.4,unerklaert,naechste: SSC end -7.81 mm,,
Stachel,10.7047,10.7047,0.0,22.2,12.2,unerklaert,naechste: SSC end -7.86 mm,,
Stachel,10.8043,10.8043,0.0,25.2,15.1,unerklaert,naechste: SSC end -7.96 mm,,
Stachel,10.937,10.937,0.0,28.2,18.1,unerklaert,naechste: SSC end -8.10 mm,,
Stachel,11.0033,11.0033,0.0,20.5,10.4,unerklaert,naechste: SSC end -8.16 mm,,
Buckel,0.5025,1.05,0.5474,35.8,-32.4,unerklaert,ausserhalb aller Designstrecken,,
Buckel,1.7467,2.7089,0.9622,51.2,-17.0,unerklaert,ausserhalb aller Designstrecken,,
Buckel,2.9577,3.5383,0.5806,68.2,0.0,unerklaert,ausserhalb aller Designstrecken,,
Buckel,3.8037,4.6664,0.8626,51.1,-17.1,unerklaert,ausserhalb aller Designstrecken,,
Buckel,6.8063,7.2376,0.4313,22.9,-45.3,unerklaert,ausserhalb aller Designstrecken,,
Buckel,10.5223,11.1029,0.5806,28.2,-40.0,unerklaert,ausserhalb aller Designstrecken,,
