kind,z_from_mm,z_to_mm,width_mm,db_over_floor,db_over_background,verdict,candidate,delta_um,p_chance
Stachel,0.6824,0.6824,0.0,34.2,10.7,unerklaert,naechste: SSC end +2.16 mm,,
Stachel,1.6612,1.6612,0.0,27.6,13.0,Seitenlinie,+-7.55 mm um 9.209 mm,,
Stachel,2.6068,2.6068,0.0,27.0,11.1,unerklaert,naechste: SSC end +0.23 mm,,
Stachel,2.8888,2.8888,0.0,28.4,11.9,Designgrenzflaeche,SSC end,47.2,0.1671
Stachel,6.5715,6.5715,0.0,31.9,10.1,Seitenlinie,+-2.50 mm um 9.076 mm,,
Stachel,9.0764,9.0764,0.0,52.5,12.0,unerklaert,naechste: MMI1x2 +5.53 mm,,
Stachel,9.1428,9.1428,0.0,61.2,20.0,unerklaert,naechste: MMI1x2 +5.47 mm,,
Stachel,9.2092,9.2092,0.0,69.8,28.6,unerklaert,naechste: MMI1x2 +5.40 mm,,
Stachel,9.2755,9.2755,0.0,60.0,18.8,unerklaert,naechste: MMI1x2 +5.33 mm,,
Stachel,11.4652,11.4652,0.0,32.3,12.1,Seitenlinie,+-2.39 mm um 9.076 mm,,
Stachel,12.3113,12.3113,0.0,34.5,14.0,unerklaert,naechste: MMI1x2 +2.30 mm,,
Stachel,12.3942,12.3942,0.0,43.0,22.6,unerklaert,naechste: MMI1x2 +2.22 mm,,
Stachel,12.4606,12.4606,0.0,34.4,13.9,unerklaert,naechste: MMI1x2 +2.15 mm,,
Stachel,16.8235,16.8235,0.0,29.9,15.7,Seitenlinie,+-7.61 mm um 9.209 mm,,
Stachel,20.6887,20.6887,0.0,19.8,11.2,unerklaert,naechste: MMI1x2 +0.93 mm,,
Stachel,24.4046,24.4046,0.0,37.8,10.1,unerklaert,naechste: MMI2x2 -0.17 mm,,
Stachel,35.7349,35.7349,0.0,12.9,10.5,unerklaert,naechste: PMTO -0.86 mm,,
Buckel,0.5497,1.1635,0.6138,34.2,-35.5,unerklaert,ausserhalb aller Designstrecken,,
Buckel,7.6,8.164,0.564,42.6,-27.2,Teil der Strecke,Strecke 2.84-14.61 mm (11.77 mm lang),-11204.3,
Buckel,8.8442,9.6902,0.846,69.8,0.0,Teil der Strecke,Strecke 2.84-14.61 mm (11.77 mm lang),-10922.3,
Buckel,9.8064,10.4699,0.6636,46.3,-23.5,Teil der Strecke,Strecke 2.84-14.61 mm (11.77 mm lang),-11104.8,
Buckel,12.2117,12.6596,0.4479,43.0,-26.7,Teil der Strecke,Strecke 2.84-14.61 mm (11.77 mm lang),-11320.4,
Buckel,16.3922,17.0889,0.6967,29.9,-39.9,Fuss eines Stachels,Seitenlinie von 9.209 mm,,
Buckel,20.191,20.9209,0.7299,19.8,-50.0,Teil der Strecke,Strecke 18.57-21.62 mm (3.06 mm lang),-2325.1,
Buckel,23.7742,25.3834,1.6091,37.8,-32.0,ueberspannt 5 Grenzfl.,kein einzelner Waveguide,,
Buckel,27.457,28.6016,1.1446,17.7,-52.1,Strecke gefuellt,Strecke 27.48-28.46 mm (0.99 mm lang),158.4,0.0284
Buckel,31.4051,32.7323,1.3271,24.2,-45.5,ueberspannt 9 Grenzfl.,kein einzelner Waveguide,,
