kind,z_from_mm,z_to_mm,width_mm,db_over_floor,db_over_background,verdict,candidate,delta_um,p_chance
Stachel,0.5852,0.5852,0.0,20.3,10.9,unerklaert,naechste: SSC end +2.26 mm,,
Stachel,1.846,1.846,0.0,34.9,22.7,unerklaert,naechste: SSC end +1.00 mm,,
Stachel,3.7371,3.7371,0.0,30.1,11.6,Doppelbounce,2 x 1.846 mm,45.2,
Stachel,3.82,3.82,0.0,31.2,12.8,Doppelbounce,2 x 1.846 mm,128.1,
Stachel,3.9362,3.9362,0.0,32.2,14.4,unerklaert,naechste: WGMETx twin +0.16 mm,,
Stachel,6.8558,6.8558,0.0,29.1,11.1,unerklaert,naechste: WGMETx twin -0.61 mm,,
Stachel,7.6189,7.6189,0.0,30.8,11.5,Doppelbounce,2 x 3.820 mm,-21.2,
Stachel,8.2991,8.2991,0.0,27.8,10.6,unerklaert,naechste: WGMETx twin -2.05 mm,,
Stachel,9.2944,9.2944,0.0,30.9,12.4,unerklaert,naechste: WGMETx twin -3.05 mm,,
Stachel,11.7496,11.7496,0.0,33.6,10.8,Seitenlinie,+-1.34 mm um 13.093 mm,,
Stachel,13.0933,13.0933,0.0,56.7,31.7,unerklaert,naechste: WGMETx twin -6.85 mm,,
Stachel,14.2877,14.2877,0.0,37.7,12.8,Seitenlinie,+-1.19 mm um 13.093 mm,,
Stachel,15.1503,15.1503,0.0,63.2,30.7,unerklaert,naechste: WGMETx twin -8.90 mm,,
Buckel,2.7252,3.2394,0.5143,27.2,-36.0,Teil der Strecke,Strecke 2.84-4.10 mm (1.26 mm lang),-743.2,
Buckel,3.5878,4.0357,0.4479,32.2,-31.0,Fuss eines Stachels,Doppelbounce von 1.846 mm,,
