kind,z_from_mm,z_to_mm,width_mm,db_over_floor,db_over_background,verdict,candidate,delta_um,p_chance
Stachel,2.621,2.621,0.0,30.5,11.7,unerklaert,naechste: SSC end +0.22 mm,,
Stachel,5.7066,5.7066,0.0,32.2,10.1,Seitenlinie,+-1.31 mm um 7.017 mm,,
Stachel,5.8559,5.8559,0.0,36.0,13.5,Seitenlinie,+-1.16 mm um 7.017 mm,,
Stachel,5.9056,5.9056,0.0,34.7,12.0,Seitenlinie,+-1.11 mm um 7.017 mm,,
Stachel,6.8678,6.8678,0.0,36.3,14.1,unerklaert,naechste: chip facet +0.13 mm,,
Stachel,7.0171,7.0171,0.0,57.7,35.8,Designgrenzflaeche,chip facet,15.5,0.006
Stachel,7.1166,7.1166,0.0,33.7,11.8,unerklaert,naechste: chip facet -0.12 mm,,
Stachel,8.029,8.029,0.0,33.8,11.8,Seitenlinie,+-1.01 mm um 7.017 mm,,
Stachel,8.1286,8.1286,0.0,32.7,10.7,Seitenlinie,+-1.11 mm um 7.017 mm,,
Stachel,8.1783,8.1783,0.0,35.7,13.7,Seitenlinie,+-1.16 mm um 7.017 mm,,
Stachel,10.1358,10.1358,0.0,15.1,10.8,unerklaert,naechste: chip facet -3.13 mm,,
Stachel,11.4297,11.4297,0.0,10.6,10.7,unerklaert,naechste: chip facet -4.43 mm,,
Stachel,12.027,12.027,0.0,7.1,10.4,unerklaert,naechste: chip facet -5.03 mm,,
Stachel,14.5485,14.5485,0.0,14.4,12.7,unerklaert,naechste: chip facet -7.55 mm,,
Stachel,14.6314,14.6314,0.0,13.2,10.2,unerklaert,naechste: chip facet -7.63 mm,,
Buckel,2.8865,4.1638,1.2773,37.7,-20.0,Strecke gefuellt,Strecke 2.84-4.16 mm (1.32 mm lang),-41.1,0.0949
Buckel,5.6734,6.2706,0.5972,36.0,-21.8,Fuss eines Stachels,Seitenlinie von 7.017 mm,,
Buckel,6.7351,7.2659,0.5308,57.7,0.0,Fuss eines Stachels,chip facet,,
Buckel,7.9461,8.4935,0.5474,35.7,-22.0,Fuss eines Stachels,Seitenlinie von 7.017 mm,,
Buckel,14.4323,14.9134,0.4811,14.4,-43.3,unerklaert,ausserhalb aller Designstrecken,,
Buckel,14.9632,15.5936,0.6304,10.2,-47.5,unerklaert,ausserhalb aller Designstrecken,,
