channel,cell,s_from_facet_um,s_to_um,n_interfaces,dz_from_mm,dz_to_mm
b5,SSC end,1199.4,1199.4,1,2.8416,2.8416
b5,2x WGMETx,2272.4,2301.8,2,5.3836,5.4532
b5,2x WGMETx,3531.8,3561.2,2,8.3673,8.437
b5,2x WGMETx,4431.1,4460.6,2,10.4981,10.5678
b5,4x WGMETx,4530.3,4635.1,4,10.733,10.9813
b5,3x WGMETx,4810.5,4869.3,3,11.3968,11.5361
b5,2x WGMETx,4971.3,5000.7,2,11.7778,11.8474
b5,2x WGMETx,5641.7,5671.1,2,13.3661,13.4357
