channel,cell,s_from_facet_um,s_to_um,n_interfaces,dz_from_mm,dz_to_mm
b26,SSC end,1199.4,1199.4,1,2.8416,2.8416
b26,MMI1x2,6326.2,6326.2,1,14.9879,14.9879
b26,MMI1x2,6572.1,6572.1,1,15.5705,15.5705
b26,PMTO,6822.1,6822.1,1,16.1628,16.1628
b26,PMTO,7731.5,7731.5,1,18.3173,18.3173
b26,BJ + 4x WGMETx,11377.8,11495.4,5,26.9559,27.2345
b26,2x BJ + 2x ISO +1,11694.8,11919.9,8,27.707,28.2402
b26,BJ + 6x ISO,12078.0,12203.1,7,28.6148,28.9111
b26,BJ + 4x ISO,12485.6,12610.7,5,29.5805,29.8768
b26,BJ + MMI1x2 +1,12685.0,12802.6,5,30.0529,30.3315
b26,BJ,12910.1,12910.1,1,30.5861,30.5861
b26,MMI1x2,13048.5,13048.5,1,30.9141,30.9141
b26,BJ + MMI1x2 +2,13109.5,13227.1,6,31.0585,31.3372
b26,MMI1x2,13473.0,13473.0,1,31.9198,31.9198
b26,PMTO,13598.0,13598.0,1,32.2159,32.2159
b26,PMTO + 2x WGMETx,14082.9,14141.7,3,33.3648,33.5041
b26,MMI2x2 + PMTO +1,14507.4,14622.3,4,34.3704,34.6427
b26,MMI2x2,14961.0,14961.0,1,35.4451,35.4451
b26,MMI2x2 + PMTO,15279.6,15299.7,2,36.2,36.2476
b26,MMI1x2,15569.4,15569.4,1,36.8866,36.8866
b26,MMI1x2,15815.4,15815.4,1,37.4693,37.4693
b26,MMI1x2,15940.4,15940.4,1,37.7654,37.7654
b26,MMI1x2 + PMTO +1,16186.3,16228.4,6,38.348,38.4479
b26,MMI1x2,16432.2,16432.2,1,38.9306,38.9306
