file,lam_i_nm,lam_j_nm,span_nm,lam_center_nm,dnu_THz,fringes,tau_aux_ns
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1535.000000,1550.000000,15.000000,1542.500000,1.890044,38520.153920,20.380561
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1535.000000,1555.000000,20.000000,1545.000000,2.511955,51210.259118,20.386612
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1535.000000,1560.000000,25.000000,1547.500000,3.129880,63798.253369,20.383608
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1535.000000,1565.000000,30.000000,1550.000000,3.743857,76332.986946,20.388864
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1540.000000,1545.000000,5.000000,1542.500000,0.630001,12843.253662,20.386072
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1540.000000,1550.000000,10.000000,1545.000000,1.255938,25589.108926,20.374496
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1540.000000,1555.000000,15.000000,1547.500000,1.877850,38279.214125,20.384599
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1540.000000,1560.000000,20.000000,1550.000000,2.495775,50867.208375,20.381330
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1540.000000,1565.000000,25.000000,1552.500000,3.109751,63401.941953,20.388107
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1545.000000,1550.000000,5.000000,1547.500000,0.625937,12745.855264,20.362845
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1545.000000,1555.000000,10.000000,1550.000000,1.247848,25435.960462,20.383855
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1545.000000,1560.000000,15.000000,1552.500000,1.865773,38023.954713,20.379729
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1545.000000,1565.000000,20.000000,1555.000000,2.479750,50558.688291,20.388624
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1550.000000,1555.000000,5.000000,1552.500000,0.621912,12690.105198,20.405000
